tag,mean_rank,normalized_rmse
d64wd00,1.3333333333333333,1.0003560068199164
d128wd00,2.6666666666666665,1.0039228256499049
d64wd00001,2.6666666666666665,1.006721137577981
d128wd00001,3.3333333333333335,1.0067711245346482
d64wd0001,5.333333333333333,1.0159039042646583
d128wd0001,5.666666666666667,1.0161581089179892
