domain,domain_label,model_prefix,model_label,n_seeds,rmse_mean,rmse_std,mae_mean,mae_std,rmse_pct_change_vs_baseline,n_significant_seeds,p_value_fisher_combined
restaurant,Restaurant,baseline_reimpl_cbf_nosentiment,Baseline (global SA),5,0.7060179629273959,0.029701021529762065,0.566624097664973,0.015228164518409477,0.0,-,
restaurant,Restaurant,absa_ablation_cbf_nosentiment,ABSA mean,5,0.8548798647071119,0.021364464555204868,0.6679178707080394,0.012388378100074118,21.084718746033417,5/5,0.0
restaurant,Restaurant,absa_ablation_confidence_mean_cbf_nosentiment,ABSA confidence-mean,5,0.8507912828541754,0.02534192521556024,0.664759681528331,0.015639081195411603,20.50561423770281,5/5,0.0
restaurant,Restaurant,absa_ablation_concat_cbf_nosentiment,ABSA concat,5,0.7304063194067941,0.030021091155168298,0.5819534227402825,0.022610828516270977,3.454353537730907,3/5,2.0452627146065638e-38
restaurant,Restaurant,absa_ablation_concat_confidence_cbf_nosentiment,ABSA concat+confidence,5,0.6821465432808677,0.0020617601456233065,0.5529480738624434,0.001727246267806649,-3.381134886079821,5/5,5.405047529176498e-25
restaurant,Restaurant,classical_cf_item_knn,Item-KNN,5,1.2019091454970638,0.0,0.9237018943436516,0.0,70.23775719721502,5/5,0.0
restaurant,Restaurant,classical_cf_svd,SVD,5,1.0752688368888648,0.000579689396910694,0.8453967506973992,0.0008764061139402229,52.300492813302704,5/5,0.0
restaurant,Restaurant,absa_ablation_concat_confidence_cbf_nosentiment_no_sentiment_fixed_v2,No-sentiment floor (fixed),5,1.2719015538750118,0.12278763568243768,0.965075317278016,0.08289809271746591,80.1514438246395,n/a,
amazon_electronics,E-commerce,baseline_reimpl_cbf_nosentiment,Baseline (global SA),5,0.719775151603549,0.09915720596794046,0.49718150502531594,0.1278698398748441,0.0,-,
amazon_electronics,E-commerce,absa_ablation_cbf_nosentiment,ABSA mean,5,0.8692176691028226,0.101749233336995,0.5900948860704227,0.13571937223321764,20.7623890830822,5/5,0.0
amazon_electronics,E-commerce,absa_ablation_confidence_mean_cbf_nosentiment,ABSA confidence-mean,5,0.8783087141203522,0.10126530206964762,0.5910171749440554,0.13236916395872747,22.02542865832679,5/5,0.0
amazon_electronics,E-commerce,absa_ablation_concat_cbf_nosentiment,ABSA concat,5,0.7185311941024767,0.09766320491087147,0.49700082030826936,0.12797380796214616,-0.1728258468357744,3/5,2.3537736318803992e-42
amazon_electronics,E-commerce,absa_ablation_concat_confidence_cbf_nosentiment,ABSA concat+confidence,5,0.7141314014308301,0.10229954586874422,0.4944991165754221,0.12914732756249678,-0.7840990565102846,5/5,3.0218325720993966e-30
amazon_electronics,E-commerce,classical_cf_item_knn,Item-KNN,5,1.2240158125010432,0.0,0.8311161572668608,1.2412670766236366e-16,70.05530265585345,5/5,0.0
amazon_electronics,E-commerce,classical_cf_svd,SVD,5,1.1419863662681002,0.0007723905860615168,0.8029570605872767,0.0005305492562641982,58.65876499403032,5/5,0.0
amazon_electronics,E-commerce,absa_ablation_concat_confidence_cbf_nosentiment_no_sentiment_fixed_v2,No-sentiment floor (fixed),5,1.3021724202875615,0.05259030269586248,0.914584152321083,0.08400097658069862,80.91377805784494,n/a,
tripadvisor_hotel,Hotel,baseline_reimpl_cbf_nosentiment,Baseline (global SA),5,0.6255948262731181,0.011674658726279213,0.5134239920426824,0.007482004165616789,0.0,-,
tripadvisor_hotel,Hotel,absa_ablation_cbf_nosentiment,ABSA mean,5,0.7190204634956426,0.006499335195932612,0.5823267713832628,0.004666202136880088,14.933889044302509,5/5,0.0
tripadvisor_hotel,Hotel,absa_ablation_confidence_mean_cbf_nosentiment,ABSA confidence-mean,5,0.7160465653477487,0.007400169440729281,0.5770604453972114,0.003569222349998934,14.458517761964629,5/5,9.241621128382866e-276
tripadvisor_hotel,Hotel,absa_ablation_concat_cbf_nosentiment,ABSA concat,5,0.6322428794223487,0.0027046559549997293,0.514941156622226,0.0011205645955632497,1.0626771306334615,1/5,0.09879615641764572
tripadvisor_hotel,Hotel,absa_ablation_concat_confidence_cbf_nosentiment,ABSA concat+confidence,5,0.6278616854160742,0.0017213914287228438,0.5115183169901829,0.0014545733764934007,0.3623526039146703,1/5,0.005993245472999065
tripadvisor_hotel,Hotel,classical_cf_item_knn,Item-KNN,5,0.9163437483448726,0.0,0.6917113553371,0.0,46.475595682887125,5/5,0.0
tripadvisor_hotel,Hotel,classical_cf_svd,SVD,5,0.8952610071629579,0.0001536088270900622,0.695429612273329,0.000132688873764453,43.10556442679253,5/5,0.0
tripadvisor_hotel,Hotel,absa_ablation_concat_confidence_cbf_nosentiment_no_sentiment_fixed_v2,No-sentiment floor (fixed),5,0.9475044935794606,0.01556361732115435,0.7203118822232264,0.01247984319080242,51.4565744131978,n/a,
