domain,domain_label,model_prefix,model_label,seed,rmse,mae,n_test_samples,is_floor,floor_status
restaurant,Restaurant,classical_cf_item_knn,Item-KNN,123,1.2019091454970638,0.9237018943436516,13233,False,
restaurant,Restaurant,classical_cf_item_knn,Item-KNN,456,1.2019091454970638,0.9237018943436516,13233,False,
restaurant,Restaurant,classical_cf_item_knn,Item-KNN,789,1.2019091454970638,0.9237018943436516,13233,False,
restaurant,Restaurant,classical_cf_item_knn,Item-KNN,1011,1.2019091454970638,0.9237018943436516,13233,False,
restaurant,Restaurant,classical_cf_svd,SVD,42,1.0757076218914174,0.8455853397448228,13233,False,
restaurant,Restaurant,classical_cf_svd,SVD,123,1.074592239802091,0.8444737729090804,13233,False,
restaurant,Restaurant,classical_cf_svd,SVD,456,1.0747708072515059,0.8452756533157544,13233,False,
restaurant,Restaurant,classical_cf_svd,SVD,789,1.0759326278664039,0.8467743105965119,13233,False,
restaurant,Restaurant,classical_cf_svd,SVD,1011,1.0753408876329051,0.8448746769208266,13233,False,
amazon_electronics,E-commerce,baseline_reimpl_cbf_nosentiment,Baseline (global SA),42,0.6776393827825312,0.44650658356779066,16580,False,
amazon_electronics,E-commerce,baseline_reimpl_cbf_nosentiment,Baseline (global SA),123,0.6890715793991044,0.41598814534318024,16580,False,
amazon_electronics,E-commerce,baseline_reimpl_cbf_nosentiment,Baseline (global SA),456,0.6516534624166116,0.42500526318234827,16580,False,
amazon_electronics,E-commerce,baseline_reimpl_cbf_nosentiment,Baseline (global SA),789,0.6852916179495422,0.4762892008397029,16580,False,
amazon_electronics,E-commerce,baseline_reimpl_cbf_nosentiment,Baseline (global SA),1011,0.8952197154699559,0.7221183321935574,16580,False,
amazon_electronics,E-commerce,absa_ablation_cbf_nosentiment,ABSA mean,42,0.8102748133536238,0.5344465515652832,16580,False,
amazon_electronics,E-commerce,absa_ablation_cbf_nosentiment,ABSA mean,123,0.855801352629724,0.5114752989631471,16580,False,
amazon_electronics,E-commerce,absa_ablation_cbf_nosentiment,ABSA mean,456,0.7971869176584024,0.507575088333497,16580,False,
amazon_electronics,E-commerce,absa_ablation_cbf_nosentiment,ABSA mean,789,0.836187363140847,0.5679260390894162,16580,False,
amazon_electronics,E-commerce,absa_ablation_cbf_nosentiment,ABSA mean,1011,1.046637898731516,0.8290514524007706,16580,False,
