domain,domain_label,model_label,full_sd,sd_excl_extreme_seed,internal_reduction_factor,extreme_seed
restaurant,Restaurant,Baseline,0.029701021529762065,0.015001304521745374,1.9798959141658972,789
restaurant,Restaurant,Concat+confidence,0.0020617601456233065,0.0010593005793738005,1.9463409968510585,1011
amazon_electronics,E-commerce,Baseline,0.09915720596794046,0.016858353454910862,5.8817847326042285,1011
amazon_electronics,E-commerce,Concat+confidence,0.10229954586874422,0.012775445179474968,8.007513196729825,1011
tripadvisor_hotel,Hotel,Baseline,0.011674658726279213,0.005176351851394617,2.255383532928469,789
tripadvisor_hotel,Hotel,Concat+confidence,0.0017213914287228438,0.001220808382429982,1.4100422748543602,123
